"90","RELIEVE C.A.","1","FLA-1813-A","FLA-SPRAY METALIC GOLD","514","SPRAY","2" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-70-12-5","FLA-WALL BLANCO OSTRA","505","PINTURAS CAUCHOS","1" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-70-21-1","FLA-WALL BEIGE SAHARA","505","PINTURAS CAUCHOS","8" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-70-2137T-1","FLA-WALL ALBARICOQUE","505","PINTURAS CAUCHOS","3" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-70-23-1","FLA-WALL MARFIL","505","PINTURAS CAUCHOS","14" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-70-2437P-1","FLA-WALL DELPHI","505","PINTURAS CAUCHOS","2" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-70-2482D-1","FLA-WALL VERDE CARIBE","505","PINTURAS CAUCHOS","1" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-70-29-1","FLA-WALL AMARILLO SOL","505","PINTURAS CAUCHOS","7" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-70-32-1","FLA-WALL MOSTAZA","505","PINTURAS CAUCHOS","23" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-70-41-1","FLA-WALL ROJO TEJA","505","PINTURAS CAUCHOS","4" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-70-53-C-1","FLA-WALL AZUL FUERTE","505","PINTURAS CAUCHOS","11" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-70-62-1","FLA-WALL VERDE BOSQUE","505","PINTURAS CAUCHOS","4" 
